International_data,,,,,,,,,
https://www.eia.gov/beta/international/data/browser/#/?pa=0000000000000000000000000000000000vg&f=M&c=4100000002000060000000000000g000200000000000000001&tl_id=5-M&vs=INTL.53-1-AFRC-TBPD.M&vo=0&v=H&start=201901&end=201907,,,,,,,,,
Fri Nov 22 2019 16:17:44 GMT-0600 (Central Standard Time),,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,
,,,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19
,Petroleum and Other Liquids (monthly),Mb/d,,,,,,,
,Production,,,,,,,,
,Total Petroleum and Other Liquids,,,,,,,,
,Total Petroleum and Other Liquids,,,,,,,,
,Africa,Mb/d,8362.506,8401.506,8685.506,8785.506,8684.506,8672.506,8722.506
,Asia & Oceania,Mb/d,9464.926,9441.926,9584.926,9424.926,9466.926,9542.926,9361.926
,Central & South America,Mb/d,6801.882,6508.553,6436.898,6844.87,7251.678,7229.125,7452.079
,Eurasia,Mb/d,14940.742,14926.742,14828.742,14430.742,14334.742,14756.742,14697.742
,Europe,Mb/d,4241.94,4253.94,4236.94,4133.94,3991.98,3730.98,4023.98
,Middle East,Mb/d,30689.109,30743.109,30221.109,30189.109,29909.109,29968.109,29551.109
,North America,Mb/d,26109.481,26108.25,26390.836,26682.343,26634.03,26766.243,26338.546
,World,Mb/d,100610.586,100384.026,100384.957,100491.436,100272.971,100666.631,100147.888
,"Crude Oil, NGPL, and Other Liquids",,,,,,,,
,"Crude Oil, NGPL, and Other Liquids",,,,,,,,
,Africa,Mb/d,8339.588,8378.588,8662.588,8762.588,8661.588,8649.588,8699.588
,Asia & Oceania,Mb/d,8618.311,8595.311,8738.311,8578.311,8620.311,8696.311,8515.311
,Central & South America,Mb/d,6688.963,6395.634,6323.979,6731.951,7138.759,7116.206,7339.16
,Eurasia,Mb/d,14883.965,14869.965,14771.965,14373.965,14277.965,14699.965,14640.965
,Europe,Mb/d,3878.034,3890.034,3873.034,3770.034,3628.074,3367.074,3660.074
,Middle East,Mb/d,30636.929,30690.929,30168.929,30136.929,29856.929,29915.929,29498.929
,North America,Mb/d,24896.322,24984.928,25244.903,25518.733,25466.613,25573.233,25157.129
,World,Mb/d,97942.112,97805.389,97783.709,97872.511,97650.239,98018.306,97511.156
,Crude Oil including Lease Condensate,,,,,,,,
,Africa,Mb/d,7723.16,7762.16,8047.16,8146.16,8046.16,8034.16,8084.16
,Asia & Oceania,Mb/d,7030.196,7008.196,7146.196,6983.196,7025.196,7092.196,6906.196
,Central & South America,Mb/d,6062.265,5780.936,5622.281,5669.253,5723.061,5580.508,5741.462
,Eurasia,Mb/d,14082.58,14067.58,13969.58,13571.58,13475.58,13898.58,13839.58
,Europe,Mb/d,3033.205,3052.205,3020.205,2929.205,2814.245,2559.245,2825.245
,Middle East,Mb/d,27360.412,27355.412,26812.412,26766.412,26516.412,26551.412,26131.412
,North America,Mb/d,17724.387,17664.071,17927.742,18150.733,18033.129,18172.833,17856.194
,World,Mb/d,83016.205,82690.56,82545.576,82216.539,81633.783,81888.934,81384.249
,NGPL,,,,,,,,
,Africa,Mb/d,506,506,505,506,505,505,505
,Asia & Oceania,Mb/d,506.43,503.43,506.43,507.43,505.43,512.43,515.43
,Central & South America,Mb/d,389,391,386,370,382,382,390
,Eurasia,Mb/d,771,772,772,772,772,771,771
,Europe,Mb/d,433.4,426.4,441.4,429.4,402.4,396.4,423.4
,Middle East,Mb/d,3036,3095,3116,3130,3100,3124,3127
,North America,Mb/d,5718.032,5872.964,5918.161,5932.567,5984.903,5915.6,5811
,World,Mb/d,11359.862,11566.794,11644.991,11647.397,11651.733,11606.43,11542.83
,Other Liquids,,,,,,,,
,Africa,Mb/d,110.428,110.428,110.428,110.428,110.428,110.428,110.428
,Asia & Oceania,Mb/d,1081.685,1083.685,1085.685,1087.685,1089.685,1091.685,1093.685
,Central & South America,Mb/d,237.698,223.698,315.698,692.698,1033.698,1153.698,1207.698
,Eurasia,Mb/d,30.385,30.385,30.385,30.385,30.385,30.385,30.385
,Europe,Mb/d,411.429,411.429,411.429,411.429,411.429,411.429,411.429
,Middle East,Mb/d,240.517,240.517,240.517,240.517,240.517,240.517,240.517
,North America,Mb/d,1453.903,1447.893,1399,1435.433,1448.581,1484.8,1489.935
,World,Mb/d,3566.045,3548.035,3593.142,4008.575,4364.723,4522.942,4584.077
,Refinery Processing Gain,,,,,,,,
,Africa,Mb/d,22.918,22.918,22.918,22.918,22.918,22.918,22.918
,Asia & Oceania,Mb/d,846.615,846.615,846.615,846.615,846.615,846.615,846.615
,Central & South America,Mb/d,112.919,112.919,112.919,112.919,112.919,112.919,112.919
,Eurasia,Mb/d,56.777,56.777,56.777,56.777,56.777,56.777,56.777
,Europe,Mb/d,363.906,363.906,363.906,363.906,363.906,363.906,363.906
,Middle East,Mb/d,52.18,52.18,52.18,52.18,52.18,52.18,52.18
,North America,Mb/d,1213.159,1123.322,1145.933,1163.61,1167.417,1193.01,1181.417
,World,Mb/d,2668.474,2578.637,2601.248,2618.925,2622.732,2648.325,2636.732
